EnsemblID	external_gene_id	chromosome_name	end_position	start_position
ENSMUSG00000089949	Gm16137	15	37243162	37242403
ENSMUSG00000094052	AC147372.1	Y	70272124	70271441
ENSMUSG00000080765	Gm8908	X	91286791	91285768
ENSMUSG00000094616	AC147255.1	Y	70467966	70443305
ENSMUSG00000053007	Creb5	6	53696007	53573384
ENSMUSG00000095485	AC144647.1	Y	70706829	70706146
ENSMUSG00000089811	Gm16138	15	37332666	37331989
ENSMUSG00000096762	AC183522.1	Y	70781401	70780718
ENSMUSG00000096489	AC210752.1	Y	71224005	71223325
ENSMUSG00000086992	Gm15941	15	37433414	37421134
ENSMUSG00000096836	AC235091.2	Y	71300148	71297836
ENSMUSG00000086978	4933435F18Rik	4	124332508	124326308
ENSMUSG00000094961	AC235091.1	Y	71364937	71364311
ENSMUSG00000093837	AC181981.1	Y	72039692	72039009
ENSMUSG00000094453	AC181981.2	Y	72104014	72103388
ENSMUSG00000084757	1700057H15Rik	4	124485959	124414416
ENSMUSG00000096902	AC147998.1	Y	72245698	72221061
ENSMUSG00000094142	AC182555.1	Y	72383262	72382579
ENSMUSG00000095904	AC182555.2	Y	72450406	72449780
ENSMUSG00000095598	AC181982.1	Y	72820330	72819647
ENSMUSG00000096261	AC181982.2	Y	72895204	72894521
ENSMUSG00000081235	Gm14788	X	91289651	91289277
ENSMUSG00000043496	Tril	6	53820825	53815471
ENSMUSG00000095679	AC134541.2	Y	72968709	72968026
ENSMUSG00000095173	AC134541.1	Y	73035139	73034441
ENSMUSG00000083926	Gm14783	X	91346337	91345675
ENSMUSG00000096234	AC199711.1	Y	73239904	73239221
ENSMUSG00000073759	4933407E24Rik	4	124574645	124569190
ENSMUSG00000096013	AC224273.1	Y	73314512	73313829
ENSMUSG00000082880	Gm14789	X	91503790	91503563
ENSMUSG00000096643	AC202687.1	Y	73383907	73383281
ENSMUSG00000078169	Gm16499	6	53820040	53819975
ENSMUSG00000096754	AC199231.1	Y	73536230	73535547
ENSMUSG00000052955	Cpvl	6	53978662	53873379
ENSMUSG00000015659	Serac1	17	6079741	6042196
ENSMUSG00000094645	AC194528.1	Y	74012160	74011477
ENSMUSG00000095378	AC134557.1	Y	74300895	74300212
ENSMUSG00000094507	AC175055.1	Y	74624978	74623896
ENSMUSG00000093882	AC198184.1	Y	74789646	74788963
ENSMUSG00000095949	AC147252.2	Y	74951338	74950655
ENSMUSG00000095808	AC147252.1	Y	75026075	75025392
ENSMUSG00000083104	Gm12917	4	124719637	124718999
ENSMUSG00000093819	AC202272.1	Y	75466372	75465689
ENSMUSG00000096843	AC197500.1	Y	75540398	75539715
ENSMUSG00000086589	Gm12915	4	124751354	124735730
ENSMUSG00000093872	AC192547.1	Y	75987423	75986740
ENSMUSG00000032526	Deb1	9	121712921	121710389
ENSMUSG00000084758	Gm12798	4	101407856	101403081
ENSMUSG00000096207	AC192547.2	Y	76061651	76060968
ENSMUSG00000085263	1700125G02Rik	4	124894782	124890888
ENSMUSG00000094404	AC192713.1	Y	76379744	76378662
ENSMUSG00000081121	Gm12791	4	101876001	101875347
ENSMUSG00000096040	AC212991.1	Y	76501467	76500784
ENSMUSG00000032525	Nktr	9	121756841	121719181
ENSMUSG00000081045	Gm12797	4	101884312	101884040
ENSMUSG00000094549	AC222560.1	Y	76576410	76575727
ENSMUSG00000093982	AC191864.1	Y	77074728	77074045
ENSMUSG00000084208	Gm12792	4	101896982	101895964
ENSMUSG00000096491	AC191864.2	Y	77149422	77148739
ENSMUSG00000082264	Gm12799	4	102049127	102046568
ENSMUSG00000095179	AC183094.1	Y	77345055	77320430
ENSMUSG00000094647	AC192863.1	Y	77718842	77694232
ENSMUSG00000096898	AC179923.1	Y	77961690	77961007
ENSMUSG00000018217	Pmp22	11	63159547	63128982
ENSMUSG00000095090	AC201927.1	Y	78035714	78035031
ENSMUSG00000044730	9930104L06Rik	4	124944656	124937048
ENSMUSG00000094045	AC226686.1	Y	78102221	78101520
ENSMUSG00000096266	AC177800.2	Y	78762038	78761355
ENSMUSG00000094739	AC177800.1	Y	78836543	78835860
ENSMUSG00000096203	AC147264.2	Y	79074940	79074257
ENSMUSG00000095867	AC147264.1	Y	79149787	79148798
ENSMUSG00000094746	Sly	Y	79342954	79320997
ENSMUSG00000096369	AC194796.1	Y	79590982	79590278
ENSMUSG00000080863	Gm14787	X	91545225	91544838
ENSMUSG00000095114	AC215266.1	Y	79667079	79664757
ENSMUSG00000094207	AC193422.1	Y	79959257	79958268
ENSMUSG00000084057	Gm8916	X	91547541	91546593
ENSMUSG00000095084	AC201928.1	Y	80023149	80022448
ENSMUSG00000095578	AC201928.2	Y	80157221	80135210
ENSMUSG00000048701	Ccdc6	10	70193200	70097121
ENSMUSG00000094742	AC213532.1	Y	80463929	80463246
ENSMUSG00000096032	AC194793.1	Y	80682503	80681820
ENSMUSG00000004633	Chn2	6	54301810	54039554
ENSMUSG00000094279	AC175662.1	Y	80757034	80756351
ENSMUSG00000096778	AC145563.1	Y	80823474	80822773
ENSMUSG00000085181	Gm12709	4	102989755	102967266
ENSMUSG00000095441	AC222562.1	Y	81204493	81203810
ENSMUSG00000095750	AC175114.1	Y	81352055	81351354
ENSMUSG00000096548	AC188303.1	Y	81725302	81724619
ENSMUSG00000042066	Tmcc2	1	132391281	132356315
ENSMUSG00000095067	AC183415.2	Y	81799967	81799284
ENSMUSG00000094047	AC183415.1	Y	81869220	81868594
ENSMUSG00000096104	AC204726.2	Y	82020055	82019244
ENSMUSG00000094209	AC216078.1	Y	82163360	82162734
ENSMUSG00000094348	AC174445.1	Y	82568207	82567524
ENSMUSG00000094629	AC195063.1	Y	82787743	82787060
ENSMUSG00000095921	AC195063.2	Y	82862028	82861345
ENSMUSG00000095815	AC175668.1	Y	82928361	82927735
ENSMUSG00000083955	Gm14785	X	91551230	91550084
ENSMUSG00000096816	AC220963.1	Y	83288579	83287896
ENSMUSG00000095726	AC183826.1	Y	83362381	83361698
ENSMUSG00000084316	Gm8668	15	37422694	37421248
ENSMUSG00000095582	AC226194.1	Y	83715782	83715099
ENSMUSG00000096552	AC183416.3	Y	83790566	83789883
ENSMUSG00000084382	Gm3267	15	37493228	37492756
ENSMUSG00000094857	AC183416.2	Y	83853059	83852376
ENSMUSG00000081960	Mageb17-ps	X	91626363	91625395
ENSMUSG00000096125	AC147623.2	Y	83927735	83927052
ENSMUSG00000095109	AC147623.1	Y	83994275	83993649
ENSMUSG00000095153	Sly	Y	84120745	84098711
ENSMUSG00000086125	Gm15942	15	37720853	37700704
ENSMUSG00000085041	BB031773	4	103011965	103004106
ENSMUSG00000094469	AC222561.1	Y	84440964	84440281
ENSMUSG00000082807	Gm14782	X	91859692	91859498
ENSMUSG00000095688	AC204725.1	Y	84489780	84489097
ENSMUSG00000080744	Gm12710	4	103103742	103103527
ENSMUSG00000094660	AC192087.1	Y	84563394	84562711
ENSMUSG00000086313	Gm15940	15	37765401	37762832
ENSMUSG00000096671	AC192087.2	Y	84629416	84628715
ENSMUSG00000078618	4930456L15Rik	4	103311832	103290959
ENSMUSG00000084155	Gm7113	X	91863556	91862599
ENSMUSG00000096418	AC196041.1	Y	85017495	85016812
ENSMUSG00000086136	Gm12718	4	103492040	103382500
ENSMUSG00000093832	AC147368.1	Y	85168797	85168114
ENSMUSG00000085442	Gm3362	15	37943792	37943327
ENSMUSG00000096575	AC147368.2	Y	85235394	85234693
ENSMUSG00000083994	Gm16465	X	91889565	91887301
ENSMUSG00000013419	Zfp651	9	121771742	121760033
ENSMUSG00000096187	AC136975.3	Y	85454516	85453833
ENSMUSG00000087482	Gm12720	4	103550682	103538845
ENSMUSG00000095650	AC136975.1	Y	85529518	85528517
ENSMUSG00000087695	Gm16291	15	39812377	39797045
ENSMUSG00000095760	AC236670.1	Y	85595838	85595212
ENSMUSG00000081584	Gm12716	4	103544727	103543374
ENSMUSG00000074001	Kbtbd5	9	121783819	121777607
ENSMUSG00000056332	Gm16294	15	40527277	40511322
ENSMUSG00000095167	AC175391.2	Y	85814909	85814226
ENSMUSG00000059195	Gm12715	4	103565228	103563336
ENSMUSG00000095443	AC195649.1	Y	85889645	85888962
ENSMUSG00000078123	Gm5071	X	91932980	91931946
ENSMUSG00000032523	Hhatl	9	121792507	121784016
ENSMUSG00000094418	AC231651.1	Y	85956175	85955549
ENSMUSG00000080913	Gm12719	4	103939541	103939301
ENSMUSG00000095838	AC175672.2	Y	86366423	86365740
ENSMUSG00000094744	AC147149.1	Y	86434894	86434211
ENSMUSG00000081696	Gm12717	4	103941941	103940963
ENSMUSG00000048559	4930555K19Rik	15	41173871	41173701
ENSMUSG00000095303	AC147149.2	Y	86500240	86499614
ENSMUSG00000060530	A930017M01Rik	15	44883055	44881380
ENSMUSG00000058463	Gm5471	15	44972135	44971794
ENSMUSG00000094761	AC213371.1	Y	86870055	86869372
ENSMUSG00000042046	Dstyk	1	132466959	132417453
ENSMUSG00000096157	AC125523.1	15	45980037	45978358
ENSMUSG00000096625	AC213371.2	Y	86944319	86943636
ENSMUSG00000084269	Gm14784	X	92003549	92002887
ENSMUSG00000094716	AC234321.1	Y	87013484	87012783
ENSMUSG00000041975	Mettl8	2	71055583	70964561
ENSMUSG00000089828	Gm16300	15	47703827	47699714
ENSMUSG00000094399	Sly	Y	87140155	87118255
ENSMUSG00000095083	AC140784.1	Y	87447885	87447184
ENSMUSG00000094459	AC183791.1	Y	88261004	88260303
ENSMUSG00000093881	AC145552.1	Y	88402048	88401365
ENSMUSG00000037697	Ddhd1	14	45658143	45593174
ENSMUSG00000094909	AC211711.1	Y	88805474	88804770
ENSMUSG00000095800	AC200894.1	Y	88953082	88952381
ENSMUSG00000094375	AC192435.1	Y	89329489	89328785
ENSMUSG00000095099	AC146633.1	Y	89846914	89846210
ENSMUSG00000096178	AC183902.1	Y	90430527	90402688
ENSMUSG00000095366	AC151712.3	Y	90754821	90754513
ENSMUSG00000052336	Cx3cr1	9	120068283	119901616
ENSMUSG00000095134	AC151712.1	Y	90763485	90755657
ENSMUSG00000096768	AC151712.4	Y	90816464	90784738
ENSMUSG00000083791	Gm12721	4	104970129	104969862
ENSMUSG00000081819	Gm12722	4	105374946	105374454
ENSMUSG00000083128	Gm12723	4	105511682	105511232
ENSMUSG00000096850	AC151712.5	Y	90839177	90838869
ENSMUSG00000032513	Gorasp1	9	119937558	119925673
ENSMUSG00000095326	AC151712.2	Y	90844074	90843934
ENSMUSG00000091749	Tspy-ps	Y	1058868	1055764
ENSMUSG00000095013	AC175491.1	Y	53713418	53712736
ENSMUSG00000094019	AC240277.1	Y	66408019	66407337
ENSMUSG00000070407	Hs3st3b1	11	63922290	63885792
ENSMUSG00000079797	AC175384.1	Y	74226539	74225857
ENSMUSG00000094070	AC204726.1	Y	82094505	82093823
ENSMUSG00000091539	Vmn1r238	18	3123412	3122492
ENSMUSG00000082061	Gm12726	4	105578940	105578340
ENSMUSG00000053930	Shisa6	11	66525964	66211725
ENSMUSG00000083780	Gm12728	4	105794711	105794219
ENSMUSG00000085790	Gm12729	4	106105068	106088714
ENSMUSG00000082768	Gm12727	4	106099282	106098924
ENSMUSG00000087011	Gm12930	4	124987009	124957647
ENSMUSG00000080934	Gm12931	4	125019823	125019500
ENSMUSG00000051730	Mettl5	2	69885615	69871198
ENSMUSG00000086342	Gm12932	4	125084947	125082857
ENSMUSG00000079235	Ccdc13	9	121839461	121797627
ENSMUSG00000063889	Crem	18	3337748	3266048
ENSMUSG00000081189	Gm12725	4	106137778	106136111
ENSMUSG00000032514	Ttc21a	9	119967793	119937606
ENSMUSG00000050978	Gm5215	15	54312365	54311961
ENSMUSG00000081743	Gm4911	X	92080794	92079772
ENSMUSG00000086541	Has2as	15	56778399	56689944
ENSMUSG00000087010	1700041M05Rik	4	125242052	125228597
ENSMUSG00000019933	2310015B20Rik	10	70219710	70204684
ENSMUSG00000082062	Ftl2	4	125504839	125504288
ENSMUSG00000083701	Gm4912	X	92094742	92093699
ENSMUSG00000048070	Pirt	11	66929876	66911981
ENSMUSG00000037762	Slc16a9	10	70285968	70245100
ENSMUSG00000085562	2610028E06Rik	4	125922417	125887851
ENSMUSG00000080155	Gm14777	X	92429414	92429239
ENSMUSG00000050270	Tmem220	11	67035312	67025154
ENSMUSG00000090002	Gm16006	15	57708927	57708114
ENSMUSG00000084322	Gm14778	X	92441818	92441372
ENSMUSG00000080737	Gm6982	X	92595368	92593809
ENSMUSG00000047807	9330154K18Rik	15	57737822	57716078
ENSMUSG00000079942	Rpl28-ps3	4	126070280	126069867
ENSMUSG00000083207	Gm14780	X	93530309	93527573
ENSMUSG00000086961	Gm12946	4	126147735	126145979
ENSMUSG00000093737	9330154K18Rik	15	57737822	57733461
ENSMUSG00000087394	Gm12945	4	126325237	126323599
ENSMUSG00000087255	Gm6985	X	93638884	93638614
ENSMUSG00000084099	Gm12929	4	126476671	126476302
ENSMUSG00000082381	Gm12928	4	126477299	126476727
ENSMUSG00000086801	Gm15943	15	58324053	58214475
ENSMUSG00000083461	Gm12935	4	126522087	126521669
ENSMUSG00000093677	Gm20712	15	58781951	58780461
ENSMUSG00000082888	Gm12934	4	126524672	126524330
ENSMUSG00000005299	Letm1	5	33782817	33739673
ENSMUSG00000043259	Fam13c	10	70558731	70440668
ENSMUSG00000086249	Gm12724	4	106290026	106241216
ENSMUSG00000042148	Cox10	11	64079468	63962627
ENSMUSG00000081319	Gm12936	4	126584809	126584509
ENSMUSG00000081210	Gm12933	4	126666125	126665254
ENSMUSG00000082498	Gm12937	4	126796415	126795473
ENSMUSG00000082958	Gm12731	4	106257298	106257031
ENSMUSG00000081609	Gm12939	4	126983603	126983439
ENSMUSG00000087051	Gm12730	4	106292255	106291269
ENSMUSG00000045725	Prr15	6	54330200	54327012
ENSMUSG00000082728	Fam48b1	X	93921962	93920295
ENSMUSG00000085933	Tmem61	4	106506335	106498816
ENSMUSG00000038412	Higd1a	9	121858000	121848560
ENSMUSG00000025922	Gm5045	15	59211720	59210908
ENSMUSG00000093849	AC158122.1	15	59978171	59977722
ENSMUSG00000086172	2700068H02Rik	4	106557897	106554669
ENSMUSG00000056590	H2afy3	15	62219403	62217541
ENSMUSG00000085334	Gm12940	4	127049398	127033731
ENSMUSG00000085023	Gm12744	4	106589108	106587097
ENSMUSG00000081573	Gm15164	X	93931831	93931561
ENSMUSG00000081110	Gm12745	4	106775029	106774816
ENSMUSG00000083114	Gm14790	X	93982469	93981069
ENSMUSG00000095812	AC101527.1	15	63632338	63631697
ENSMUSG00000093695	Gm20717	15	64100886	64098317
ENSMUSG00000044308	Ubr3	2	70024013	69897246
ENSMUSG00000086040	Wipf3	6	54503768	54429603
ENSMUSG00000080995	Gm15165	X	93988819	93988318
ENSMUSG00000081055	Gm6987	X	94024626	94023860
ENSMUSG00000072541	Gm5046	15	65015467	65015156
ENSMUSG00000034345	Gtf2h5	17	6086517	6079786
ENSMUSG00000092495	Gm20405	15	65858356	65857869
ENSMUSG00000044534	Ccbp2	9	121911064	121898464
ENSMUSG00000092454	Gm2991	15	65928933	65928454
ENSMUSG00000087640	Gm14798	X	94099304	94028854
ENSMUSG00000050445	Cyp8b1	9	121916305	121914356
ENSMUSG00000090464	Gm17140	15	66744327	66739059
ENSMUSG00000084088	Gm12941	4	127046602	127046383
ENSMUSG00000080923	Gm5400	X	94312836	94311894
ENSMUSG00000084149	Gm12944	4	127056724	127056262
ENSMUSG00000091479	Gm17035	15	66931107	66929607
ENSMUSG00000043773	1700048O20Rik	9	121947014	121938135
ENSMUSG00000082759	Gm14826	X	94318460	94317560
ENSMUSG00000082220	Gm12943	4	127141488	127141279
ENSMUSG00000091412	Gm2895	15	67013039	66969323
ENSMUSG00000038233	Fam198a	9	121980208	121950988
ENSMUSG00000084214	Gm14825	X	94331671	94330971
ENSMUSG00000034349	Smc4	3	69034623	69004738
ENSMUSG00000010311	Optc	1	133907999	133897199
ENSMUSG00000024231	Cul2	18	3436377	3382988
ENSMUSG00000020910	2310004I24Rik	11	67052594	67037905
ENSMUSG00000068397	Gm10240	15	68310301	68309819
ENSMUSG00000093387	Mir30d	15	68363176	68340983
ENSMUSG00000084007	Gm9003	X	94423295	94422678
ENSMUSG00000057406	Whsc1	5	33897975	33820725
ENSMUSG00000034377	Tulp4	17	6251128	6106437
ENSMUSG00000086940	Gm12746	4	106847920	106841761
ENSMUSG00000085581	Gm12786	4	107022499	107017935
ENSMUSG00000085304	Gm12802	4	107136252	107126613
ENSMUSG00000026439	Rbbp5	1	132505665	132477367
ENSMUSG00000096528	AC140240.1	18	3474315	3471630
ENSMUSG00000024232	Bambi	18	3516404	3507957
ENSMUSG00000095224	AL646051.1	11	64436653	64435156
ENSMUSG00000047759	Hs3st3a1	11	64522841	64435332
ENSMUSG00000024233	Lyzl1	18	4182232	4165832
ENSMUSG00000082941	Gm12850	4	107270869	107270434
ENSMUSG00000082279	Gm12870	4	107328499	107327484
ENSMUSG00000031370	Zrsr2	X	163958661	163935443
ENSMUSG00000086041	Gm12869	4	107351353	107349039
ENSMUSG00000024235	Map3k8	18	4353015	4331327
ENSMUSG00000020549	Elac2	11	65002069	64979038
ENSMUSG00000069996	Gm7125	15	68877062	68876790
ENSMUSG00000084904	Gm14827	X	94447727	94442732
ENSMUSG00000090237	Gm16308	15	71813780	71810108
ENSMUSG00000081796	Gm9005	X	94547569	94546963
ENSMUSG00000093631	Eif2c2	15	73096684	73095844
ENSMUSG00000080887	Gm14831	X	94557749	94557341
ENSMUSG00000083380	Gm3244	15	73809896	73809507
ENSMUSG00000082406	Gm5401	X	94608696	94608219
ENSMUSG00000024234	Mtpap	18	4397330	4375592
ENSMUSG00000095341	Gm428	4	73687558	73683516
ENSMUSG00000037747	Phyhipl	10	70655965	70557682
ENSMUSG00000033960	9430020K01Rik	18	4682868	4634929
ENSMUSG00000043003	Rasef	4	73790709	73714579
ENSMUSG00000082047	Gm12948	4	127297465	127296784
ENSMUSG00000079998	Gm12947	4	127408798	127408379
ENSMUSG00000024236	Svil	18	5119299	4920540
ENSMUSG00000086138	4930471C06Rik	4	127476840	127474848
ENSMUSG00000019124	Scrn1	6	54566489	54505890
ENSMUSG00000042364	Snx18	13	113618564	113592180
ENSMUSG00000066235	Gtdc2	9	121996026	121981606
ENSMUSG00000051456	Hspb3	13	113663676	113662896
ENSMUSG00000042348	Arl15	13	114157461	113794505
ENSMUSG00000080974	Gm9009	X	94616125	94615800
ENSMUSG00000038145	Snrk	9	122169702	122117283
ENSMUSG00000075609	Gm7935	15	74081511	74080234
ENSMUSG00000081916	Gm12899	4	107688678	107688128
ENSMUSG00000085549	1700047F07Rik	4	107758985	107689701
ENSMUSG00000028563	Tm2d1	4	98383306	98355370
ENSMUSG00000021764	Ndufs4	13	114388094	114287795
ENSMUSG00000021765	Fst	13	114458730	114452262
ENSMUSG00000023004	Tuba1b	15	98934565	98931425
ENSMUSG00000029821	Dfna5	6	50263862	50189369
ENSMUSG00000082585	Gm15387	15	74094402	74093183
ENSMUSG00000086771	1700080G11Rik	4	127532885	127531622
ENSMUSG00000051758	4930544M13Rik	13	114656824	114607237
ENSMUSG00000083438	Gm5402	X	94673120	94671503
ENSMUSG00000019920	Lims1	10	58424691	58323466
ENSMUSG00000082776	Gm7061	X	94774034	94772616
ENSMUSG00000041966	Dcaf17	2	71099142	71055328
ENSMUSG00000091709	Gm17189	15	74800640	74784065
ENSMUSG00000085523	Gm15945	15	75663529	75661407
ENSMUSG00000084874	Gm12906	4	107760468	107760025
ENSMUSG00000081418	Gm14830	X	94775677	94774978
ENSMUSG00000082964	Rpl13-ps5	X	94790349	94789717
ENSMUSG00000087195	Gm12907	4	107770601	107765080
ENSMUSG00000047166	Tigd5	15	75912148	75909760
ENSMUSG00000087289	4933424M12Rik	4	107789921	107787849
ENSMUSG00000044095	2410075B13Rik	15	75982285	75979872
ENSMUSG00000073060	Zxda	X	94798183	94795563
ENSMUSG00000048174	Tmem81	1	132508637	132506230
ENSMUSG00000087200	Gm12908	4	107802064	107793161
ENSMUSG00000063875	Rps6-ps1	15	76338365	76337616
ENSMUSG00000093458	Gm20688	15	77392381	77391702
ENSMUSG00000053024	Cntn2	1	132542940	132509425
ENSMUSG00000087522	Gm371	X	94998683	94997439
ENSMUSG00000015536	Mocs2	13	114829006	114818244
ENSMUSG00000086467	4930571N24Rik	15	77461966	77427979
ENSMUSG00000083789	Gm6092	X	95211801	95209773
ENSMUSG00000082233	Gm6506	15	77444420	77443285
ENSMUSG00000080298	Gm14807	X	95253898	95252916
ENSMUSG00000082371	Gm3712	X	95321889	95319819
ENSMUSG00000095704	AL592187.1	15	77626637	77626074
ENSMUSG00000092375	A730060N03Rik	15	78144142	78119706
ENSMUSG00000084864	1700027A07Rik	15	78913660	78911966
ENSMUSG00000080283	Gm14806	X	95382480	95380371
ENSMUSG00000050945	Zfp438	18	5334439	5210031
ENSMUSG00000085153	B230314M03Rik	4	107823010	107807988
ENSMUSG00000075555	Gm10863	15	79227524	79166041
ENSMUSG00000028612	4930430J20Rik	4	107830844	107827896
ENSMUSG00000063087	Gm10125	18	5592439	5491503
ENSMUSG00000087470	A630031M04Rik	4	127570502	127545101
ENSMUSG00000086713	4930407G08Rik	4	107960721	107953932
ENSMUSG00000087510	1700112K13Rik	4	127812173	127810638
ENSMUSG00000083957	Gm12742	4	108311151	108310356
ENSMUSG00000087324	Gm14818	X	95557987	95471448
ENSMUSG00000031373	Car5b	X	164027997	163976822
ENSMUSG00000087459	4930465A12Rik	4	128166967	128133523
ENSMUSG00000083556	Gm9043	X	95630366	95629832
ENSMUSG00000081734	Gm12740	4	108322645	108322338
ENSMUSG00000081848	Gm14925	X	96194488	96194051
ENSMUSG00000083255	Gm12738	4	108451342	108450807
ENSMUSG00000038074	Fkbp14	6	54597344	54577604
ENSMUSG00000029822	Osbpl3	6	50456201	50293330
ENSMUSG00000096530	Gm11758	4	73876266	73872219
ENSMUSG00000061859	Inadl	4	98719603	98395785
ENSMUSG00000024238	Zeb1	18	5775467	5591860
ENSMUSG00000072235	Tuba1a	15	98953551	98949841
ENSMUSG00000085717	4930546G22Rik	4	128262990	128261044
ENSMUSG00000084891	Gm12958	4	128638447	128637471
ENSMUSG00000085701	Gm12968	4	128873698	128846197
ENSMUSG00000069844	Sco1	11	67067070	67052670
ENSMUSG00000040749	Siah1b	X	164076493	164070705
ENSMUSG00000084011	Gm12969	4	128869396	128868393
ENSMUSG00000096750	Gm11757	4	73891112	73887066
ENSMUSG00000041577	Prelp	1	133921414	133910304
ENSMUSG00000041225	Arhgap12	18	6136098	6024448
ENSMUSG00000003226	Ranbp2	10	58494155	58446852
ENSMUSG00000085961	Gm15904	4	128940195	128936005
ENSMUSG00000085085	1700086P04Rik	4	129057983	129050097
ENSMUSG00000087416	Gm15906	4	129136910	129135091
ENSMUSG00000087575	Gm12976	4	129265010	129261965
ENSMUSG00000037949	Ano10	9	122294374	122175879
ENSMUSG00000083783	Gm12739	4	108484552	108484171
ENSMUSG00000085093	Gm12737	4	108516817	108513781
ENSMUSG00000052395	Rft1	14	30691317	30654360
ENSMUSG00000084968	Gm12743	4	108619849	108592425
ENSMUSG00000006740	Kif5b	18	6242174	6201002
ENSMUSG00000091985	Gm17354	4	108637441	108633843
ENSMUSG00000082374	Gm12741	4	108732297	108731742
ENSMUSG00000082699	Gm12736	4	108933808	108933573
ENSMUSG00000086483	8030443G20Rik	4	108972077	108942843
ENSMUSG00000041559	Fmod	1	134048277	134037254
ENSMUSG00000032515	Csrnp1	9	119977250	119971166
ENSMUSG00000083512	Gm12749	4	109374859	109373701
ENSMUSG00000079243	Xirp1	9	120023598	120013755
ENSMUSG00000082468	Gm12980	4	129380179	129379844
ENSMUSG00000085873	Gm12750	4	109406155	109403794
ENSMUSG00000086336	Gm12979	4	129509746	129491969
ENSMUSG00000005225	Plekha8	6	54645839	54595111
ENSMUSG00000042262	Ccr8	9	120094906	120092133
ENSMUSG00000032519	Slc25a38	9	120124504	120110374
ENSMUSG00000096333	Gm13871	4	73905953	73901907
ENSMUSG00000015401	Tmem27	X	164118860	164088830
ENSMUSG00000086797	Gm12965	4	129624092	129623611
ENSMUSG00000080944	Gm12967	4	129761916	129761628
ENSMUSG00000073640	Rpl27-ps3	18	6333064	6332590
ENSMUSG00000073753	Gm10571	4	129856710	129855071
ENSMUSG00000070729	Gm12966	4	129899902	129899093
ENSMUSG00000024240	Epc1	18	6516108	6435951
ENSMUSG00000064081	Gm8973	15	99006370	99006056
ENSMUSG00000087641	Gm12811	4	109656791	109569214
ENSMUSG00000043091	Tuba1c	15	99038105	99029891
ENSMUSG00000082771	Gm12803	4	109630725	109629582
ENSMUSG00000020908	Myh3	11	67102291	67078300
ENSMUSG00000059027	9630013D21Rik	4	109657853	109651529
ENSMUSG00000038010	Ccdc138	10	58576242	58497970
ENSMUSG00000093962	Gm11756	4	73920760	73916728
ENSMUSG00000083995	Gm12808	4	109754817	109754414
ENSMUSG00000085256	3010003L10Rik	4	109977813	109976738
ENSMUSG00000023484	Prph	15	99058978	99055174
ENSMUSG00000026442	Nfasc	1	132741797	132564691
ENSMUSG00000081742	Gm9051	X	96225727	96224308
ENSMUSG00000079261	Gm15217	14	46383608	46379414
ENSMUSG00000015405	Ace2	X	164188420	164139332
ENSMUSG00000078122	F630028O10Rik	X	96243636	96239942
ENSMUSG00000091135	Gm17209	15	79256092	79255574
ENSMUSG00000039540	4921524L21Rik	18	6638966	6603633
ENSMUSG00000047692	4930533K18Rik	10	70934324	70868669
ENSMUSG00000086369	E330017L17Rik	4	129919787	129906216
ENSMUSG00000092494	Gm20420	15	79315558	79314199
ENSMUSG00000073639	Rab18	18	6790231	6765205
ENSMUSG00000014329	Bicc1	10	71159700	70922832
ENSMUSG00000020423	Btg2	1	134079120	134075170
ENSMUSG00000061013	Mkx	18	7004726	6935000
ENSMUSG00000018965	Ywhah	5	33027966	33018816
ENSMUSG00000085389	1700003M07Rik	4	129963657	129960374
ENSMUSG00000081813	Gm12806	4	110510302	110510035
ENSMUSG00000032540	Abhd5	9	122381524	122351608
ENSMUSG00000082348	Gm12807	4	110513732	110512771
ENSMUSG00000061802	Armc4	18	7297901	7088233
ENSMUSG00000032518	Rpsa	9	120132369	120127766
ENSMUSG00000081068	Gm12804	4	111291116	111290118
ENSMUSG00000015533	Itga2	13	114932041	114835916
ENSMUSG00000032517	Mobp	9	120181484	120149742
ENSMUSG00000057440	Mpp7	18	7626863	7347962
ENSMUSG00000026450	Chit1	1	134151540	134111242
ENSMUSG00000083904	Gm12805	4	111320605	111319558
ENSMUSG00000003227	Edar	10	58675654	58600789
ENSMUSG00000011034	Slc5a1	5	33162872	33104219
ENSMUSG00000021835	Bmp4	14	46390669	46383520
ENSMUSG00000085517	Gm12963	4	130047774	130024256
ENSMUSG00000024283	Wac	18	7973547	7868832
ENSMUSG00000028396	2310002L09Rik	4	73950846	73939371
ENSMUSG00000082317	Gm14933	X	96359681	96358704
ENSMUSG00000087449	Gm12971	4	130762379	130758563
ENSMUSG00000085802	Gm16059	15	79431629	79427220
ENSMUSG00000086548	Gm12972	4	130787855	130786069
ENSMUSG00000089796	Gm16575	15	79741798	79739574
ENSMUSG00000087451	Gm12970	4	130812326	130811617
ENSMUSG00000082035	Gm14934	X	96485479	96484859
ENSMUSG00000085804	Gm12973	4	131001339	130974790
ENSMUSG00000049122	Frmd3	4	74202214	74013442
ENSMUSG00000038065	2410066E13Rik	6	54700406	54681772
ENSMUSG00000038141	Tmem181a	17	6305783	6270475
ENSMUSG00000082686	Gm12961	4	111791670	111790621
ENSMUSG00000086262	A930031H19Rik	4	131010474	131000832
ENSMUSG00000060887	Gm12960	4	111808426	111807358
ENSMUSG00000058446	Znrf2	6	54893500	54816916
ENSMUSG00000084326	Gm12820	4	112121344	112121003
